Stance on NN,Networking,Format,Date Received,Type of Filing,Submission Type,Proceeding ID,Filing URL,Name of Filers(s),Comment Text,Total Page Count,Source,Memo,Date in the Document,Network 1,Network 2,Network 3,Network 4,Network 5,Network 6,Network 7,Network 8,Network 9,Network 10,Network 11,Network 12,Network 13,Network 14,Network 15,Network 16,Network 17,Network 18
Pro,Network,Comments,4/16/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515042019,Consumer Federation of America & Consumers Union,Refer to Attachment(s).,6,https://www.fcc.gov/ecfs/document/5515042019/1,,"Apr 17, 2008",Consumer Federation of America,Consumers Union,,,,,,,,,,,,,,,,
Pro,Network,Comments,6/15/2007,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514680755,"EarthLink, Inc. and New Edge Network, Inc.",Refer to Attachment(s).,17,https://www.fcc.gov/ecfs/document/5514680755/1,,"June 15, 2007",EarthLink,New Edge Networks,,,,,,,,,,,,,,,,
Pro,Network,Comments,6/15/2007,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514681246,"Consumer Federation of America, Consumers Union, Free Press, Media Access Projec",Refer to Attachment(s).,326,https://www.fcc.gov/ecfs/document/5514681246/4,,"June 15, 2007",Free Press,Consumer Federation of America,Consumers Union,Media Access Project,U.S. Public Interest Research Group,,,,,,,,,,,,,
Pro,Network,Comments,2/13/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514992302,"Free Press, Public Knowledge, MAP, CFA, CU, NAF and PCF",Refer to Attachment(s).,100,https://www.fcc.gov/ecfs/document/5514992302/1,,2/13/2008,Free Press,Public Knowledge,Media Access Project,Consumer Federation of America,Consumers Union,New America Foundation,Participatory Culture Foundation,,,,,,,,,,,
Pro,Network,Comments,6/15/2007,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514681160,"NATOA, NLC, NACo",Refer to Attachment(s).,11,https://www.fcc.gov/ecfs/document/5514681160/1,,6/15/2007,National Association of Telecommunications Officers & Advisors,National Association of Counties,National League of Cities,,,,,,,,,,,,,,,
Anti,Network,Comments,6/14/2007,NOTICE OF INQUIRY,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514679813,"Derek Hunter, Americans for Tax Reform",Refer to Attachment(s).,2,https://www.fcc.gov/ecfs/document/5514679813/1,,6/14/2007,Americans for Tax Reform,Media Freedom Project,Property Rights Alliance,American Shareholder’s Association,,,,,,,,,,,,,,
Anti,Network,Comments,6/15/2007,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514681171,The Nebraska Rural Independent Companies,Refer to Attachment(s).,16,https://www.fcc.gov/ecfs/document/5514681171/1,Nebraska Rural Independent Companies,6/15/2007,Arlington Telephone Company,Blair Telephone Company,Cambridge Telephone Company,Clarks Telecommunications,Consolidated Telco,Consolidated Telcom,Consolidated Telephone Company,Curtis Telephone Company,Eastern Nebraska Telephone Company,Great Plains Communications,Hartington Telecommunications Co.,Hershey Cooperative Telephone Co.,K. & M. Telephone Company,Nebraska Central Telephone Company,Northeast Nebraska Telephone Company,Rock County Telephone Company,Stanton Telecom Inc.,Three River Telco
Anti,Network,Comments,6/15/2007,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514681140,"Wayne Brough, Arthur A. Fleisher",Refer to Attachment(s).,10,https://www.fcc.gov/ecfs/document/5514681140/1,,6/15/2007,FreedomWorks,"Arthur A. Fleisher III, Metropolitan State College of Denver",,,,,,,,,,,,,,,,
Anti,Network,Comments,6/14/2007,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514680148,Internet Freedom Coalition,Refer to Attachment(s).,13,https://www.fcc.gov/ecfs/document/5514680148/1,,,Internet Freedom Coalition,Americans for Prosperity,Institute for Liberty,Institute for Policy Innovation,Media Freedom Project,Ethan Allen Institute,Americans for Tax Reform,Pullins Report,Public Interest Institute,Grassroot Institute of Hawaii,National Taxpayers Union,,,,,,,
Anti,Network,Comments,6/7/2007,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514673142,Steven Titch,Refer to Attachment(s).,11,https://www.fcc.gov/ecfs/document/5514673142/1,,6/7/2007,Steven Titch,Heartland Institute,Reason Foundation,,,,,,,,,,,,,,,
Anti,Network,Comments,2/13/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514992183,Steven Titch,Refer to Attachment(s).,3,https://www.fcc.gov/ecfs/document/5514992183/1,,2/13/2008,Steven Titch,Reason Foundation,,,,,,,,,,,,,,,,
Pro,Network,Document,2/22/2008,OPPOSITION,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514993826,"Free Press, Public Knowledge, CU, CFA, PCP, Media Access Project",Refer to Attachment(s).,3,https://www.fcc.gov/ecfs/document/5514993826/1,,"February 22, 2008",Free Press,Public Knowledge,Media Access Project,Consumer Federation of America,Consumers Union,New America Foundation,Participatory Culture Foundation,,,,,,,,,,,
Pro,Network,Document,11/1/2007,PETITION,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514976670,Free Press et al,Refer to Attachment(s).,39,https://www.fcc.gov/ecfs/document/5514976670/1,,"November 1, 2007",Free Press,Public Knowledge,Media Access Project,Consumer Federation of America,Consumers Union,Information Society Project at Yale Law School,"Charles Nesson, Harvard Law School","Barbara van Schewick, Stanford Law School",,,,,,,,,,
Anti,Network,Document,2/21/2008,MOTION,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514993507,The Progress & Freedom Foundation,Refer to Attachment(s).,3,https://www.fcc.gov/ecfs/document/5514993507/1,,"February 21, 2008",Progress & Freedom Foundation,Institute for Policy Innovation,U.S. Chamber of Commerce,,,,,,,,,,,,,,,
Pro,Network,Letter,8/21/2008,LETTER,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515188855,Jack Balkin and Barbara van Schewick,Refer to Attachment(s).,2,https://www.fcc.gov/ecfs/document/5515188855/1,,8/21/2008,"Jack Balkin, Yale Law School","Barbara van Schewick, Stanford Law School",,,,,,,,,,,,,,,,
Pro,Network,Reply Comments,7/16/2007,"ERRATA, ERRATUM OR ADDENDUM",STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514709053,"Public Knowledge, et al.",Refer to Attachment(s).,24,https://www.fcc.gov/ecfs/document/5514709053/1,,"July 16, 2007",Free Press,Public Knowledge,Consumer Federation of America,EDUCAUSE,Electronic Frontier Foundation,Electronic Privacy Information Center,Freeculture.Org,Knowledge Ecology International,Media Access Project,New America Foundation,U.S. Public Interest Research Group,,,,,,,
Pro,Network,Reply Comments,2/29/2008,REPLY TO COMMENTS,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515007255,"Free Press, Public Knowledge, MAP, CFA, CU, NAF and PCF",Refer to Attachment(s).,62,https://www.fcc.gov/ecfs/document/5515007255/1,,"February 28, 2008",Free Press,Public Knowledge,Media Access Project,Consumer Federation of America,Consumers Union,New America Foundation,Participatory Culture Foundation,,,,,,,,,,,
Anti,Network,Reply Comments,2/28/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515005620,Ad Hoc Telecom Manufacturer Coalition,Refer to Attachment(s).,5,https://www.fcc.gov/ecfs/document/5515005620/1,,2/28/2008,Ad Hoc Telecom Manufacturer Coalition,ADC Telecommunications,Enhanced Telecommunications,Sunrise Telecom,BTECH,MRV Communications,OFS Fitel,PECO II,Preformed Line Products,,,,,,,,,
Anti,Network,Reply Comments,7/16/2007,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514709017,The Nebraska Rural Independent Companies,Refer to Attachment(s).,19,https://www.fcc.gov/ecfs/document/5514709017/1,Nebraska Rural Independent Companies,7/16/2007,Arlington Telephone Company,Blair Telephone Company,Cambridge Telephone Company,Clarks Telecommunications,Consolidated Telco,Consolidated Telcom,Consolidated Telephone Company,Curtis Telephone Company,Eastern Nebraska Telephone Company,Great Plains Communications,Hartington Telecommunications Co.,Hershey Cooperative Telephone Co.,K. & M. Telephone Company,Nebraska Central Telephone Company,Northeast Nebraska Telephone Company,Rock County Telephone Company,Stanton Telecom Inc.,Three River Telco
Anti,Network,Reply Comments,2/28/2008,REPLY TO COMMENTS,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515006476,Christian Coalition of America; CP80 Found.; Enough is Enough; Stop Child Pred.,Refer to Attachment(s).,11,https://www.fcc.gov/ecfs/document/5515006476/1,,2/28/2008,Christian Coalition of America,CP80 Foundation,Enough is Enough,Stop Child Predators,,,,,,,,,,,,,,
Anti,Network,Reply Comments,7/16/2007,REPLY TO COMMENTS,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514708783,Internet Freedom Coalition,Refer to Attachment(s).,10,https://www.fcc.gov/ecfs/document/5514708783/1,,,Internet Freedom Coalition,Americans for Prosperity,Institute for Liberty,,,,,,,,,,,,,,,
